programa , Latencia  , Over -O0  , Over -O0 op , Over -O1  , Over -O1 op , Over -O2  , Over -O2 op , Over -O3 op , Over -OX  , Over -OX op , problematic
DSP_blk_move_c , 1107 , 1.6205962059620596 , 1.977949283351709 , 0.8193315266485999 , 1 , 0.8193315266485999 , 1 , 0.8193315266485999 , 1 , 0.8193315266485999 , 1 ,93	
DSP_dotp_sqr_c , 5811 , 1 , 1.9996558843771508 , 0.5413870246085011 , 1.0825877494838265 , 0.5000860437102048 , 1 , 0.5000860437102048 , 1 , 0.5000860437102048 , 1 ,97	
DSP_mat_mul_c , 63803 , 2.594909330282275 , 3.109981967089939 , 0.8343808284876887 , 1 , 0.8343808284876887 , 1 , 0.9223234017209222 , 1.1053986024494702 , 0.8343808284876887 , 1 ,95	
IMG_ycbcr422p_rgb565_c , 4541 , 2.3880202598546574 , 2.3880202598546574 , 1.1032812155912795 , 1.1032812155912795 , 1.1032812155912795 , 1.1032812155912795 , 1.1032812155912795 , 1.1032812155912795 , 1.1032812155912795 , 1.1032812155912795 ,95	
DSP_blk_eswap64_c , 3068 , 3.0596479791395046 , 3.3525 , 0.9126466753585397 , 1 , 0.9126466753585397 , 1 , 0.9126466753585397 , 1 , 0.9126466753585397 , 1 ,96	
IMG_pix_sat_c , 23093 , 1.6782141774563721 , 1.7156580636593033 , 0.9781752046074568 , 1 , 0.9781752046074568 , 1 , 0.9781752046074568 , 1 , 0.9781752046074568 , 1 ,96	
IMG_yc_demux_be16_c , 636 , 2.0220125786163523 , 2.2249134948096887 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 ,96	
IMG_mad_8x8_c , 24643 , 2.3271111471817556 , 5.65998815633636 , 0.4121657265754981 , 1.00246742992499 , 0.4121657265754981 , 1.00246742992499 , 0.41115123970295825 , 1 , 0.41115123970295825 , 1 ,97	
IMG_sobel_c , 17059 , 2.7630576235418256 , 3.3224078381616975 , 0.8316431209332317 , 1 , 0.8316431209332317 , 1 , 0.8316431209332317 , 1 , 0.8316431209332317 , 1 ,97	
DSP_maxval_c , 1397 , 1.4158911954187545 , 1.5453125 , 0.9162491052254832 , 1 , 0.9162491052254832 , 1 , 0.9162491052254832 , 1 , 0.9162491052254832 , 1 ,97	
DSP_fltoq15_c , 1006 , 1.4413518886679921 , 1.4413518886679921 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 ,94	
IMG_conv_3x3_c , 34977 , 2.6175200846270408 , 3.6231350666824964 , 0.7224461789175745 , 1 , 0.7224461789175745 , 1 , 0.7224461789175745 , 1 , 0.7224461789175745 , 1 ,97	
IMG_wave_vert_c , 21536 , 1.048012630014859 , 4.352941176470588 , 0.24075965824665677 , 1 , 0.24075965824665677 , 1 , 0.24075965824665677 , 1 , 0.24075965824665677 , 1 ,95	
IMG_sad_16x16_c , 11162 , 1.126142268410679 , 2.707301313805729 , 0.4159648808457266 , 1 , 0.4159648808457266 , 1 , 0.4159648808457266 , 1 , 0.4159648808457266 , 1 ,96	
DSP_fir_cplx_c , 9015 , 2.0612312811980034 , 2.1838053825361383 , 0.9519689406544648 , 1.008579151486661 , 0.943871325568497 , 1 , 0.9452024403771492 , 1.0014102714772595 , 0.943871325568497 , 1 ,97	
IMG_perimeter_c , 29728 , 2.2778861679224973 , 2.2778861679224973 , 1.3467774488697524 , 1.3467774488697524 , 1.3467774488697524 , 1.3467774488697524 , 1.3467774488697524 , 1.3467774488697524 , 1.3467774488697524 , 1.3467774488697524 ,94	
DSP_neg32_c , 5426 , 1.4834131957242904 , 1.9465538089480048 , 0.7620715075562109 , 1 , 0.7620715075562109 , 1 , 0.7620715075562109 , 1 , 0.7620715075562109 , 1 ,94	
DSP_autocor_c , 12046 , 2.0985389340860037 , 2.512073934214449 , 0.8353810393491615 , 1 , 0.8353810393491615 , 1 , 0.8370413415241574 , 1.001987478883037 , 0.8353810393491615 , 1 ,96	
IMG_boundary_c , 18086 , 1.0427402410704412 , 2.0234978540772532 , 0.5159792104390136 , 1.0012875536480688 , 0.5159792104390136 , 1.0012875536480688 , 0.5153157138117881 , 1 , 0.5153157138117881 , 1 ,99	
