programa , Latencia  , Over -O0  , Over -O0 op , Over -O1  , Over -O1 op , Over -O2  , Over -O2 op , Over -O3 op , Over -OX  , Over -OX op , problematic	
IMG_sobel_c , 14521 , 3.2459885682804215 , 3.3224078381616975 , 0.9769988292817299 , 1 , 0.9769988292817299 , 1 , 0.9769988292817299 , 1 , 0.9769988292817299 , 1 ,96	
DSP_maxval_c , 1164 , 1.6993127147766323 , 1.6993127147766323 , 1.0996563573883162 , 1.0996563573883162 , 1.0996563573883162 , 1.0996563573883162 , 1.0996563573883162 , 1.0996563573883162 , 1.0996563573883162 , 1.0996563573883162 ,94	
DSP_fltoq15_c , 1006 , 1.4413518886679921 , 1.4413518886679921 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 , 1.0089463220675945 ,97	
IMG_conv_3x3_c , 34461 , 2.6567133861466585 , 3.6231350666824964 , 0.7332636893880038 , 1 , 0.7332636893880038 , 1 , 0.7332636893880038 , 1 , 0.7332636893880038 , 1 ,97	
IMG_wave_vert_c , 10777 , 2.0942748445764128 , 4.352941176470588 , 0.481117194024311 , 1 , 0.481117194024311 , 1 , 0.481117194024311 , 1 , 0.481117194024311 , 1 ,92	
IMG_sad_16x16_c , 5419 , 2.3196161653441596 , 2.707301313805729 , 0.8568001476287138 , 1 , 0.8568001476287138 , 1 , 0.8568001476287138 , 1 , 0.8568001476287138 , 1 ,96	
DSP_fir_cplx_c , 9203 , 2.019124198630881 , 2.1838053825361383 , 0.9325220036944475 , 1.008579151486661 , 0.9245898076714115 , 1 , 0.9258937303053352 , 1.0014102714772595 , 0.9245898076714115 , 1 ,94	
IMG_perimeter_c , 28996 , 2.3353910884259896 , 2.3353910884259896 , 1.3807766588494965 , 1.3807766588494965 , 1.3807766588494965 , 1.3807766588494965 , 1.3807766588494965 , 1.3807766588494965 , 1.3807766588494965 , 1.3807766588494965 ,94	
DSP_neg32_c , 7539 , 1.0676482292081177 , 1.9465538089480048 , 0.5484812309324845 , 1 , 0.5484812309324845 , 1 , 0.5484812309324845 , 1 , 0.5484812309324845 , 1 ,96	
DSP_autocor_c , 10063 , 2.512073934214449 , 2.512073934214449 , 1 , 1 , 1 , 1 , 1.001987478883037 , 1.001987478883037 , 1 , 1 ,94	
IMG_boundary_c , 10093 , 1.8685227385316556 , 2.0234978540772532 , 0.9246012087585456 , 1.0012875536480688 , 0.9246012087585456 , 1.0012875536480688 , 0.92341226592688 , 1 , 0.92341226592688 , 1 ,98	
IMG_median_3x3_c , 30884 , 2.170541380650175 , 2.170541380650175 , 1.1426952467296982 , 1.1426952467296982 , 1.1426952467296982 , 1.1426952467296982 , 1.1426952467296982 , 1.1426952467296982 , 1.1426952467296982 , 1.1426952467296982 ,97	
